File,Line,Code
"app/api/feeds/indeed/route.ts",91,"console.error('Failed to fetch jobs:', error);"
"app/api/projects/route.ts",106,"console.error('[POST /api/projects] Error creating project:', {"
"app/api/projects/route.ts",165,"console.error(`[${correlationId}] Projects fetch failed:`, error);"
"app/api/projects/[id]/route.ts",77,"console.error('GET /api/projects/[id] error:', error);"
"app/api/benchmarks/compare/route.ts",70,"console.error('Benchmark comparison failed:', error);"
"app/api/support/welcome-email/route.ts",151,"console.error(`[${correlationId}] Welcome email error:`, error);"
"app/api/support/incidents/route.ts",106,"console.error('Rate limiting failed:', error);"
"app/api/support/tickets/route.ts",77,"console.error('Support ticket creation failed:', error);"
"app/api/support/tickets/route.ts",116,"console.error('Support tickets query failed:', error);"
"app/api/copilot/chat/route.ts",183,"console.error(""Copilot chat error:"", error);"
"app/api/invoices/route.ts",186,"console.error('[POST /api/invoices] Error creating invoice:', {"
"app/api/invoices/route.ts",260,"console.error('[GET /api/invoices] Error fetching invoices:', {"
"app/api/invoices/[id]/route.ts",134,"console.error(""ZATCA generation failed:"", error);"
"app/api/invoices/[id]/route.ts",248,"console.error('Invoice DELETE error:', error);"
"app/api/qa/health/route.ts",61,"console.error('Database health check failed:', error);"
"app/api/qa/reconnect/route.ts",43,"console.error('❌ Database reconnection failed:', error);"
"app/api/qa/alert/route.ts",52,"console.error('Failed to process QA alert:', error);"
"app/api/qa/alert/route.ts",75,"console.error('Failed to fetch QA alerts:', error);"
"app/api/qa/log/route.ts",53,"console.error('Failed to log QA event:', error);"
"app/api/qa/log/route.ts",88,"console.error('Failed to fetch QA logs:', error);"
"app/api/integrations/linkedin/apply/route.ts",90,"console.error('LinkedIn apply error:', error);"
"app/api/careers/apply/route.ts",181,"console.error('🚨 Job application error:', error);"
"app/api/careers/apply/route.ts",189,"console.error('Job application error details:', error.message, error.stack);"
"app/api/vendors/route.ts",101,"console.error('[POST /api/vendors] Error creating vendor:', {"
"app/api/vendors/route.ts",164,"console.error('[GET /api/vendors] Error fetching vendors:', {"
"app/api/assets/route.ts",114,"console.error('POST /api/assets error:', error);"
"app/api/assets/route.ts",187,"console.error('GET /api/assets error:', error);"
"app/api/admin/discounts/route.ts",74,"console.error('Discount fetch failed:', error);"
"app/api/admin/discounts/route.ts",117,"console.error('Discount update failed:', error);"
"app/api/admin/price-tiers/route.ts",86,"console.error('Price tier fetch failed:', error);"
"app/api/admin/price-tiers/route.ts",138,"console.error('Price tier creation failed:', error);"
"app/api/slas/route.ts",156,"console.error('SLA creation failed:', error);"
"app/api/slas/route.ts",215,"console.error('Failed to fetch SLAs:', error);"
"app/api/marketplace/vendor/products/route.ts",329,"console.error('Vendor product creation error:', error);"
"app/api/marketplace/categories/route.ts",64,"console.error('Failed to fetch marketplace categories', error);"
"app/api/marketplace/products/route.ts",94,"console.error('Marketplace products list failed', error);"
"app/api/marketplace/products/route.ts",137,"console.error('Marketplace product creation failed:', error);"
"app/api/marketplace/products/[slug]/route.ts",54,"console.error('Failed to load product details', error);"
"app/api/marketplace/orders/route.ts",65,"console.error('Marketplace orders fetch failed', error);"
"app/api/marketplace/cart/route.ts",59,"console.error('Marketplace cart fetch failed', error);"
"app/api/marketplace/cart/route.ts",116,"console.error('Marketplace add to cart failed', error);"
"app/api/marketplace/search/route.ts",98,"console.error('Marketplace search failed', error);"
"app/api/work-orders/import/route.ts",92,"console.error(`[${correlationId}] Work order import error for row ${i + 1}:`, error);"
"app/api/public/rfqs/route.ts",180,"console.error('Public RFQ fetch error:', error);"
"app/api/owners/groups/assign-primary/route.ts",80,"console.error('Owner group assignment failed:', error);"
"app/api/ats/convert-to-employee/route.ts",84,"console.error('Convert to employee error:', error);"
"app/api/ats/moderation/route.ts",59,"console.error('Moderation error:', error);"
"app/api/ats/applications/[id]/route.ts",46,"console.error('Application fetch error:', error);"
"app/api/ats/applications/[id]/route.ts",83,"console.error('Application update error:', error);"
"app/api/ats/public-post/route.ts",103,"console.error(""Public post error:"", error);"
"app/api/ats/jobs/route.ts",69,"console.error('Jobs list error:', error);"
"app/api/ats/jobs/route.ts",110,"console.error('Job creation error:', error);"
"app/api/ats/jobs/[id]/apply/route.ts",107,"console.error('Resume save failed:', err);"
"app/api/ats/jobs/[id]/apply/route.ts",234,"console.error('Job application error:', error);"
"app/api/ats/jobs/[id]/publish/route.ts",50,"console.error('Job publish error:', error);"
"app/api/properties/route.ts",116,"console.error('[POST /api/properties] Error creating property:', {"
"app/api/properties/route.ts",191,"console.error(`[${correlationId}] Properties fetch failed:`, error);"
"app/api/finance/invoices/route.ts",86,"console.error('[GET /api/finance/invoices] Error fetching invoices:', {"
"app/api/finance/invoices/route.ts",148,"console.error('[POST /api/finance/invoices] Error creating invoice:', {"
"app/api/tenants/route.ts",118,"console.error('POST /api/tenants error:', error);"
"app/api/tenants/route.ts",169,"console.error('GET /api/tenants error:', error);"
"app/api/search/route.ts",232,"console.error('Search API error:', error);"
"app/api/contracts/route.ts",96,"console.error('Contract creation failed:', error);"
"app/api/kb/ingest/route.ts",55,"console.error('kb/ingest error', err);"
"app/api/kb/search/route.ts",132,"console.error('kb/search error', err);"
"app/api/help/ask/route.ts",191,"} catch (e) { console.error('Vector search failed, falling back to lexical search:', e); }"
"app/api/help/ask/route.ts",238,"console.error('help/ask error', { correlationId, error: _err });"
"app/api/help/ask/route.ts",266,"console.error('Failed to initialize Redis client:', err);"
"app/api/help/ask/route.ts",291,"console.error('Redis rate limit check failed, falling back to in-memory:', _err);"
"app/api/help/articles/route.ts",172,"console.error('Error fetching help articles:', error);"
"app/api/help/articles/[id]/route.ts",69,".catch((e) => console.error(`Failed to trigger KB ingest for article ${article.slug}:`, e));"
"app/api/help/articles/[id]/route.ts",80,"console.error('PATCH /api/help/articles/[id] failed', _err);"
"app/logout/page.tsx",34,"console.error('Logout error:', error);"
"app/careers/page.tsx",339,"console.error('Application submission error:', error);"
"app/work-orders/[id]/parts/page.tsx",42,"console.error('Failed to search parts:', error);"
"app/fm/invoices/page.tsx",264,"console.error('Send error:', error);"
"app/fm/assets/page.tsx",178,"console.error('Delete error:', error);"
"scripts/create-test-data.js",23,"console.error('💡 Set it with: export DEFAULT_PASSWORD=""your-secure-password""');"
